Source,Target,Type,Id,Label,Intercal,Weight
2196840,777777,,,,,
2202072,777777,,,,,
2206227,777777,,,,,
2228676,777777,,,,,
2232350,777777,,,,,
2239573,777777,,,,,
2240894,777777,,,,,
2252741,777777,,,,,
2253051,777777,,,,,
2258754,777777,,,,,
2264431,777777,,,,,
2265589,777777,,,,,
2267204,777777,,,,,
2281057,777777,,,,,
2281551,777777,,,,,
2308599,777777,,,,,
2320686,777777,,,,,
2324603,777777,,,,,
2329189,777777,,,,,
2336256,777777,,,,,
2340072,777777,,,,,
2355215,777777,,,,,
2355839,777777,,,,,
2360141,777777,,,,,
2369514,777777,,,,,
2373603,777777,,,,,
2377706,777777,,,,,
2380063,777777,,,,,
2385355,777777,,,,,
2412889,777777,,,,,
2421630,777777,,,,,
2422965,777777,,,,,
2431341,777777,,,,,
2441558,777777,,,,,
2446606,777777,,,,,
2448445,777777,,,,,
2453178,777777,,,,,
2472262,777777,,,,,
2474708,777777,,,,,
2493497,777777,,,,,
2498711,777777,,,,,
2505600,777777,,,,,
2507796,777777,,,,,
2512047,777777,,,,,
2518839,777777,,,,,
2526009,777777,,,,,
2526967,777777,,,,,
2527054,777777,,,,,
2529448,777777,,,,,
2533042,777777,,,,,
2559248,777777,,,,,
2569240,777777,,,,,
2570506,777777,,,,,
2571588,777777,,,,,
2573883,777777,,,,,
2582540,777777,,,,,
2600435,777777,,,,,
2605857,777777,,,,,
2607717,777777,,,,,
2609947,777777,,,,,
2610454,777777,,,,,
2611206,777777,,,,,
2617147,777777,,,,,
2621160,777777,,,,,
2621685,777777,,,,,
2636276,777777,,,,,
2638782,777777,,,,,
2650767,777777,,,,,
2659747,777777,,,,,
2661470,777777,,,,,
2669288,777777,,,,,
2670946,777777,,,,,
2682374,777777,,,,,
2713956,777777,,,,,
2714861,777777,,,,,
2725751,777777,,,,,
2725926,777777,,,,,
2728790,777777,,,,,
2732922,777777,,,,,
2733365,777777,,,,,
2735512,777777,,,,,
2744108,777777,,,,,
2749798,777777,,,,,
2754663,777777,,,,,
2755496,777777,,,,,
2759909,777777,,,,,
2769147,777777,,,,,
2770214,777777,,,,,
2777643,777777,,,,,
2778057,777777,,,,,
2788945,777777,,,,,
2792802,777777,,,,,
2798472,777777,,,,,
2804366,777777,,,,,
2809854,777777,,,,,
2812165,777777,,,,,
2821223,777777,,,,,
2836961,777777,,,,,
2840344,777777,,,,,
2853886,777777,,,,,
2871031,777777,,,,,
2874516,777777,,,,,
2882602,777777,,,,,
2882655,777777,,,,,
2890693,777777,,,,,
